Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
H,18.0,0.03,0.159924,0,0,0,0,0,0,0,2,26,43,89,79,52,75,34,0,0,0,0,0
H,2.0,0.04,-0.198592,0,0,0,0,0,1,32,176,148,40,3,0,0,0,0,0,0,0,0,0
H,7.0,0.13,-0.237852,0,0,0,0,1,60,83,95,105,31,25,0,0,0,0,0,0,0,0,0
S,12.0,0.01,-5.48719e-05,0,0,0,0,0,0,0,0,0,964,36,0,0,0,0,0,0,0,0,0
H,14.0,0.03,-0.120758,0,0,0,0,0,0,0,92,149,118,33,8,0,0,0,0,0,0,0,0
H,13.0,0.19,0.126491,0,0,0,0,0,0,0,0,18,104,97,59,39,35,39,9,0,0,0,0
S,3.0,0.08,-0.000208394,0,0,0,0,0,0,0,0,0,380,20,0,0,0,0,0,0,0,0,0
H,16.0,0.08,0.140437,0,0,0,0,0,0,0,7,29,33,30,147,135,19,0,0,0,0,0,0
S,16.0,0.11,1.6144e-05,0,0,0,0,0,0,0,0,0,397,3,0,0,0,0,0,0,0,0,0
H,19.0,0.09,-0.107481,0,0,0,0,0,3,50,73,85,73,82,34,0,0,0,0,0,0,0,0
H,6.0,0.19,-0.080466,0,0,0,0,0,22,63,83,38,42,69,16,32,16,19,0,0,0,0,0
H,19.0,0.06,0.069926,0,0,0,0,0,0,0,22,57,83,78,49,42,50,19,0,0,0,0,0
H,19.0,0.11,0.194725,0,0,0,0,0,0,0,0,0,23,74,128,100,33,39,3,0,0,0,0
H,1.0,0.03,0.15907,0,0,0,0,0,0,0,0,14,38,86,131,52,58,20,1,0,0,0,0
S,19.0,0.09,0.00014326,0,0,0,0,0,0,0,0,0,392,8,0,0,0,0,0,0,0,0,0
S,11.0,0.13,-0.000121043,0,0,0,0,0,0,0,0,0,399,1,0,0,0,0,0,0,0,0,0
S,13.0,0.11,0.000221154,0,0,0,0,0,0,0,0,0,389,11,0,0,0,0,0,0,0,0,0
H,17.0,0.1,0.132362,0,0,0,0,0,0,0,8,4,60,116,83,65,56,8,0,0,0,0,0
S,13.0,0.09,7.53319e-06,0,0,0,0,0,0,0,0,0,374,26,0,0,0,0,0,0,0,0,0
S,5.0,0.01,8.9833e-05,0,0,0,0,0,0,0,0,0,976,24,0,0,0,0,0,0,0,0,0
H,3.0,0.07,-0.0379565,0,0,0,0,0,10,24,37,102,85,18,50,70,4,0,0,0,0,0,0
S,5.0,0.0,-0.000329568,0,0,0,0,0,0,0,0,0,394,6,0,0,0,0,0,0,0,0,0
S,7.0,0.06,-2.98276e-05,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
H,6.0,0.1,0.0163838,0,0,0,0,0,13,31,20,30,39,118,88,58,3,0,0,0,0,0,0
H,12.0,0.06,-0.166718,0,0,0,0,0,4,55,101,118,94,28,0,0,0,0,0,0,0,0,0
S,12.0,0.06,8.85161e-06,0,0,0,0,0,0,0,0,0,398,2,0,0,0,0,0,0,0,0,0
H,19.0,0.16,0.19989,0,0,0,0,0,0,0,0,4,22,47,120,126,64,17,0,0,0,0,0
H,20.0,0.16,-0.0856636,0,0,0,0,0,6,67,89,54,35,40,60,45,4,0,0,0,0,0,0
H,6.0,0.06,-0.00598852,0,0,0,0,0,3,43,86,42,26,29,71,53,37,10,0,0,0,0,0
S,17.0,0.13,0.000175416,0,0,0,0,0,0,0,0,0,383,17,0,0,0,0,0,0,0,0,0
S,12.0,0.19,-0.000318854,0,0,0,0,0,0,0,0,0,352,48,0,0,0,0,0,0,0,0,0
H,20.0,0.17,-0.167015,0,0,0,0,0,27,119,71,70,23,15,26,42,7,0,0,0,0,0,0
S,16.0,0.2,-3.44753e-05,0,0,0,0,0,0,0,0,0,368,32,0,0,0,0,0,0,0,0,0
H,11.0,0.0,0.0706246,0,0,0,0,0,0,2,13,37,36,143,124,19,26,0,0,0,0,0,0
H,3.0,0.11,-0.140862,0,0,0,0,0,2,28,118,88,110,50,4,0,0,0,0,0,0,0,0
H,3.0,0.19,0.121912,0,0,0,0,0,2,2,18,57,65,46,37,61,75,36,1,0,0,0,0
