Role,Seed,VTR,mean_IntVal,Hist_-1_-0.9,Hist_-0.9_-0.8,Hist_-0.8_-0.7,Hist_-0.7_-0.6,Hist_-0.6_-0.5,Hist_-0.5_-0.4,Hist_-0.4_-0.3,Hist_-0.3_-0.2,Hist_-0.2_-0.1,Hist_-0.1_0,Hist_0_0.1,Hist_0.1_0.2,Hist_0.2_0.3,Hist_0.3_0.4,Hist_0.4_0.5,Hist_0.5_0.6,Hist_0.6_0.7,Hist_0.7_0.8,Hist_0.8_0.9,Hist_0.9_1
H,106.0,0.8,0.588216,0,0,0,0,0,0,0,0,0,0,0,3,15,60,63,49,52,140,18,0
S,111.0,0.2,4.74273e-05,0,0,0,0,0,0,0,0,0,347,53,0,0,0,0,0,0,0,0,0
S,102.0,0.4,0.000489552,0,0,0,0,0,0,0,0,0,361,39,0,0,0,0,0,0,0,0,0
H,119.0,0.4,-0.156145,0,0,0,0,0,4,21,108,139,115,9,4,0,0,0,0,0,0,0,0
H,103.0,0.2,0.203836,0,0,0,0,0,0,0,0,0,10,51,127,142,68,2,0,0,0,0,0
S,119.0,0.6,0.188194,0,0,0,0,0,0,0,0,0,156,9,0,79,147,9,0,0,0,0,0
H,104.0,1.0,0.61868,0,0,0,0,0,0,0,0,0,0,0,0,5,25,103,53,59,96,43,16
H,101.0,0.8,0.898947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,32,12,61,281
S,119.0,1.0,0.562359,0,0,0,0,0,0,0,0,0,0,0,0,3,67,95,84,72,29,40,10
H,110.0,0.2,-0.116646,0,0,0,0,0,11,26,76,139,52,46,33,17,0,0,0,0,0,0,0
S,120.0,0.2,-0.000229766,0,0,0,0,0,0,0,0,0,377,23,0,0,0,0,0,0,0,0,0
H,111.0,1.0,0.714377,0,0,0,0,0,0,0,0,0,0,0,0,0,7,62,77,14,57,118,65
S,104.0,0.2,-6.52393e-05,0,0,0,0,0,0,0,0,0,385,15,0,0,0,0,0,0,0,0,0
S,117.0,0.8,0.275413,0,0,0,0,0,0,0,0,0,81,3,1,130,87,66,30,2,0,0,0
S,50.0,0.9,0.331651,0,0,0,0,0,0,0,0,0,40,5,4,115,88,117,13,17,1,0,0
S,72.0,0.7,0.593806,0,0,0,0,0,0,0,0,0,132,6,0,0,0,0,0,2,25,86,149
H,77.0,0.5,-0.0723659,0,0,0,0,0,0,22,38,165,91,31,11,0,30,11,1,0,0,0,0
S,74.0,0.7,0.227609,0,0,0,0,0,0,0,0,0,112,31,2,64,130,46,15,0,0,0,0
H,325.0,0.1,0.0571697,0,0,0,0,0,0,0,6,59,73,86,119,46,9,2,0,0,0,0,0
S,101.0,0.0,-7.94236e-05,0,0,0,0,0,0,0,0,0,395,5,0,0,0,0,0,0,0,0,0
S,33.0,0.9,0.438932,0,0,0,0,0,0,0,0,0,39,11,0,3,6,163,166,12,0,0,0
S,112.0,0.6,0.316204,0,0,0,0,0,0,0,0,0,174,20,0,0,4,13,66,92,27,4,0
S,115.0,0.2,9.99459e-06,0,0,0,0,0,0,0,0,0,390,10,0,0,0,0,0,0,0,0,0
S,77.0,0.7,0.250199,0,0,0,0,0,0,0,0,0,163,18,0,28,26,68,87,10,0,0,0
H,104.0,0.0,-0.153827,0,0,0,0,0,18,65,126,60,36,53,21,15,6,0,0,0,0,0,0
S,73.0,0.5,0.0639515,0,0,0,0,0,0,0,0,0,266,72,0,0,25,37,0,0,0,0,0
H,105.0,0.0,0.154612,0,0,0,0,0,0,4,1,0,1,147,124,61,54,8,0,0,0,0,0
S,105.0,0.6,0.191911,0,0,0,0,0,0,0,0,0,197,41,0,19,17,32,79,15,0,0,0
H,81.0,0.5,0.196525,0,0,0,0,0,0,0,0,0,9,37,176,126,49,3,0,0,0,0,0
S,110.0,0.2,0.00011494,0,0,0,0,0,0,0,0,0,387,13,0,0,0,0,0,0,0,0,0
H,119.0,0.6,0.75621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,110,161,55,55
H,75.0,0.7,0.869466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,25,58,135,174
H,117.0,1.0,0.898619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,193,191
S,87.0,0.5,0.140906,0,0,0,0,0,0,0,0,0,206,40,0,32,59,62,1,0,0,0,0
H,106.0,0.0,-0.0275931,0,0,0,0,2,18,2,0,66,141,107,60,4,0,0,0,0,0,0,0
S,109.0,1.0,0.611301,0,0,0,0,0,0,0,0,0,0,0,0,0,32,107,46,48,137,30,0
